"","Date","Price","Volume"
"383","2017-01-17",899.659973,72272727
"384","2017-01-18",872.030029,61042392
"385","2017-01-19",895.210022,52300814
"386","2017-01-20",892.909973,34847130
"387","2017-01-21",919.840027,37129176
"388","2017-01-22",918.840027,44074299
"389","2017-01-23",921.460022,30261054
"390","2017-01-24",893.75,53468911
"391","2017-01-25",894.409973,34014866
"392","2017-01-26",915.559998,30795685
"393","2017-01-27",918.01001,28503144
"394","2017-01-28",918.51001,13251844
"395","2017-01-29",914.549988,10214368
"396","2017-01-30",920.72998,17604172
"397","2017-01-31",965.48999,51869216
"398","2017-02-01",982.429993,44035816
"399","2017-02-02",1003.969971,50633910
"400","2017-02-03",1013.02002,62431017
"401","2017-02-04",1031.849976,40406542
"402","2017-02-05",1016.109985,31669956
"403","2017-02-06",1024.670044,32828350
"404","2017-02-07",1049.560059,41318349
"405","2017-02-08",1055.48999,68336320
"406","2017-02-09",978.960022,145839317
"407","2017-02-10",997.609985,60639111
"408","2017-02-11",1008.320007,28504495
"409","2017-02-12",996.52002,14825023
"410","2017-02-13",995.359985,32785064
"411","2017-02-14",1008.340027,39810076
"412","2017-02-15",1008.190002,23569549
"413","2017-02-16",1031.930054,39114743
"414","2017-02-17",1049.410034,47815360
"415","2017-02-18",1052.280029,26856521
"416","2017-02-19",1048.890015,18876881
"417","2017-02-20",1077.560059,32959720
"418","2017-02-21",1119.030029,62908569
"419","2017-02-22",1120.459961,53647453
"420","2017-02-23",1171.910034,75663167
"421","2017-02-24",1176.48999,126978010
"422","2017-02-25",1149.050049,53003830
"423","2017-02-26",1171.579956,35750258
"424","2017-02-27",1188.829956,42035366
"425","2017-02-28",1189.27002,60371869
"426","2017-03-01",1222.660034,61964760
"427","2017-03-02",1255.469971,98040639
"428","2017-03-03",1283.300049,85876262
"429","2017-03-04",1264.319946,48597934
"430","2017-03-05",1271.219971,32104972
"431","2017-03-06",1277.01001,39591110
"432","2017-03-07",1232.689941,108673876
"433","2017-03-08",1146.969971,116342973
"434","2017-03-09",1191.329956,70427061
"435","2017-03-10",1112.390015,223836041
"436","2017-03-11",1179.219971,82387198
"437","2017-03-12",1225.109985,53441762
"438","2017-03-13",1238.189941,74376298
"439","2017-03-14",1243.140015,56058617
"440","2017-03-15",1253.430054,54486699
"441","2017-03-16",1172.880005,159409024
"442","2017-03-17",1071.709961,183879768
"443","2017-03-18",971.380005,212772055
"444","2017-03-19",1022.599976,108128237
"445","2017-03-20",1047.51001,63833143
"446","2017-03-21",1121.290039,101051998
"447","2017-03-22",1044.719971,120730492
"448","2017-03-23",1035.030029,58898141
"449","2017-03-24",939.700012,130042865
"450","2017-03-25",966.299988,118395054
"451","2017-03-26",969.440002,83255983
"452","2017-03-26",1045.140015,92332221
"453","2017-03-27",1044.420044,83567551
"454","2017-03-28",1041.900024,71261535
"455","2017-03-29",1037.910034,77633883
"456","2017-03-30",1079.109985,96543920
"457","2017-03-31",1086.119995,55020078
"458","2017-04-01",1097.400024,77853933
"459","2017-04-02",1147.560059,111870807
"460","2017-04-03",1141.77002,81164094
"461","2017-04-04",1129.869995,78335573
"462","2017-04-05",1188.699951,108182158
"463","2017-04-06",1190.48999,71184485
"464","2017-04-07",1180.780029,39393003
"465","2017-04-08",1204.339966,54498333
"466","2017-04-09",1206.709961,48473680
"467","2017-04-10",1220.73999,45563707
"468","2017-04-11",1212.530029,54699396
"469","2017-04-12",1176.199951,78456422
"470","2017-04-13",1177.329956,56129576
"471","2017-04-14",1176.98999,33877537
"472","2017-04-15",1176.800049,22538918
"473","2017-04-16",1194.01001,56095607
"474","2017-04-17",1206.089966,64900219
"475","2017-04-18",1215.199951,53034357
"476","2017-04-19",1238.089966,69223360
"477","2017-04-20",1249.640015,52498296
"478","2017-04-21",1240.890015,55776932
"479","2017-04-22",1249.140015,54224355
"480","2017-04-23",1248.180054,49281629
"481","2017-04-24",1264.310059,56659016
"482","2017-04-25",1286.630005,77649710
"483","2017-04-26",1332.910034,83319636
"484","2017-04-27",1329.619995,104536476
"485","2017-04-28",1336.280029,55982468
"486","2017-04-29",1351.910034,55470285
"487","2017-04-30",1415.810059,144414038
"488","2017-05-01",1445.930054,103342244
"489","2017-05-02",1485.550049,122551707
"490","2017-05-03",1516.76001,213084949
"491","2017-05-04",1507.77002,188015771
"492","2017-05-05",1545.290039,92747185
"493","2017-05-06",1554.449951,111708072
"494","2017-05-07",1664.469971,174687869
"495","2017-05-08",1697.5,219169486
"496","2017-05-09",1752.310059,156203600
"497","2017-05-10",1819.290039,198829123
"498","2017-05-11",1686.390015,192159873
"499","2017-05-12",1763.73999,128390095
"500","2017-05-13",1772.550049,72874378
"501","2017-05-14",1708.920044,138499150
"502","2017-05-15",1729.339966,130379207
"503","2017-05-16",1801.300049,170954154
"504","2017-05-17",1880.98999,135901905
"505","2017-05-18",1962,191523926
"506","2017-05-19",2040.180054,179346919
"507","2017-05-20",2044.189941,161036810
